Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
18	:	1771315215.737	     0.993	0	0	0	0	$BIN -f Exp/G6_I200_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
17	:	1771315215.735	     1.066	0	0	0	0	$BIN -f Exp/G6_I200_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
19	:	1771315215.739	     1.082	0	0	0	0	$BIN -f Exp/G6_I200_S0//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
12	:	1771315215.724	     1.121	0	0	0	0	$BIN -f Exp/G6_I200_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
10	:	1771315215.719	     1.184	0	0	0	0	$BIN -f Exp/G6_I200_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
3	:	1771315215.698	     1.209	0	0	0	0	$BIN -f Exp/G6_I200_S0//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
15	:	1771315215.730	     1.183	0	0	0	0	$BIN -f Exp/G6_I200_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
8	:	1771315215.713	     1.208	0	0	0	0	$BIN -f Exp/G6_I200_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
2	:	1771315215.696	     1.233	0	0	0	0	$BIN -f Exp/G6_I200_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
9	:	1771315215.716	     1.226	0	0	0	0	$BIN -f Exp/G6_I200_S0//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
13	:	1771315215.726	     1.220	0	0	0	0	$BIN -f Exp/G6_I200_S0//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
1	:	1771315215.693	     1.294	0	0	0	0	$BIN -f Exp/G6_I200_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
5	:	1771315215.703	     1.289	0	0	0	0	$BIN -f Exp/G6_I200_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
16	:	1771315215.733	     1.356	0	0	0	0	$BIN -f Exp/G6_I200_S0//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
4	:	1771315215.701	     1.490	0	0	0	0	$BIN -f Exp/G6_I200_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
6	:	1771315215.706	     1.490	0	0	0	0	$BIN -f Exp/G6_I200_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
7	:	1771315215.709	     1.604	0	0	0	0	$BIN -f Exp/G6_I200_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
11	:	1771315215.721	     1.733	0	0	0	0	$BIN -f Exp/G6_I200_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
14	:	1771315215.728	     1.759	0	0	0	0	$BIN -f Exp/G6_I200_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
22	:	1771315216.805	     1.008	0	0	0	0	$BIN -f Exp/G6_I200_S0//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
21	:	1771315216.734	     1.169	0	0	0	0	$BIN -f Exp/G6_I200_S0//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
31	:	1771315216.948	     1.049	0	0	0	0	$BIN -f Exp/G6_I200_S0//37.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/37.txt 2>&1
27	:	1771315216.916	     1.208	0	0	0	0	$BIN -f Exp/G6_I200_S0//33.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/33.txt 2>&1
34	:	1771315217.096	     1.058	0	0	0	0	$BIN -f Exp/G6_I200_S0//3.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/3.txt 2>&1
30	:	1771315216.946	     1.304	0	0	0	0	$BIN -f Exp/G6_I200_S0//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
28	:	1771315216.925	     1.413	0	0	0	0	$BIN -f Exp/G6_I200_S0//34.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/34.txt 2>&1
33	:	1771315216.997	     1.364	0	0	0	0	$BIN -f Exp/G6_I200_S0//39.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/39.txt 2>&1
25	:	1771315216.907	     1.506	0	0	0	0	$BIN -f Exp/G6_I200_S0//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
20	:	1771315215.741	     2.699	0	0	0	0	$BIN -f Exp/G6_I200_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
24	:	1771315216.852	     1.644	0	0	0	0	$BIN -f Exp/G6_I200_S0//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
26	:	1771315216.910	     1.598	0	0	0	0	$BIN -f Exp/G6_I200_S0//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
35	:	1771315217.196	     1.365	0	0	0	0	$BIN -f Exp/G6_I200_S0//40.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/40.txt 2>&1
32	:	1771315216.993	     1.649	0	0	0	0	$BIN -f Exp/G6_I200_S0//38.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/38.txt 2>&1
38	:	1771315217.461	     1.266	0	0	0	0	$BIN -f Exp/G6_I200_S0//43.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/43.txt 2>&1
29	:	1771315216.932	     1.858	0	0	0	0	$BIN -f Exp/G6_I200_S0//35.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/35.txt 2>&1
37	:	1771315217.319	     1.586	0	0	0	0	$BIN -f Exp/G6_I200_S0//42.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/42.txt 2>&1
41	:	1771315217.906	     1.137	0	0	0	0	$BIN -f Exp/G6_I200_S0//46.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/46.txt 2>&1
39	:	1771315217.491	     1.651	0	0	0	0	$BIN -f Exp/G6_I200_S0//44.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/44.txt 2>&1
23	:	1771315216.826	     2.324	0	0	0	0	$BIN -f Exp/G6_I200_S0//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
36	:	1771315217.199	     1.955	0	0	0	0	$BIN -f Exp/G6_I200_S0//41.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/41.txt 2>&1
40	:	1771315217.820	     1.351	0	0	0	0	$BIN -f Exp/G6_I200_S0//45.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/45.txt 2>&1
45	:	1771315218.255	     1.087	0	0	0	0	$BIN -f Exp/G6_I200_S0//4.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/4.txt 2>&1
42	:	1771315218.001	     1.450	0	0	0	0	$BIN -f Exp/G6_I200_S0//47.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/47.txt 2>&1
47	:	1771315218.364	     1.102	0	0	0	0	$BIN -f Exp/G6_I200_S0//51.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/51.txt 2>&1
43	:	1771315218.128	     1.549	0	0	0	0	$BIN -f Exp/G6_I200_S0//48.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/48.txt 2>&1
