[324.814, 141.555, 19.5598, -223.261, 143.284, -48.8925, -41.8707, -315.178]
[325.605, 140.765, 19.5598, -223.261, 143.284, -48.8925, -41.8707, -315.178]
[320.652, 145.717, 19.5598, -223.261, 143.284, -48.8925, -41.8707, -315.178]
[320.652, 145.717, 19.5598, -223.261, 144.016, -49.6244, -41.8707, -315.178]
[320.652, 145.717, 19.5598, -223.261, 144.738, -50.3469, -41.8707, -315.178]
[320.652, 145.717, 19.5598, -224.125, 144.738, -49.483, -41.8707, -315.178]
[320.652, 145.717, 19.5598, -224.977, 144.738, -48.6318, -41.8707, -315.178]
[321.494, 145.717, 19.5598, -224.977, 143.896, -48.6318, -41.8707, -315.178]
[321.518, 145.717, 19.5598, -225.001, 143.896, -48.6318, -41.8707, -315.178]
[321.666, 145.717, 19.5598, -225.001, 143.896, -48.6318, -42.0182, -315.178]
[322.508, 144.875, 19.5598, -225.001, 143.896, -48.6318, -42.0182, -315.178]
[322.508, 144.875, 19.5598, -225.001, 144.626, -49.3614, -42.0182, -315.178]
[322.508, 144.875, 19.5598, -225.001, 144.626, -48.986, -42.0182, -315.554]
[323.338, 144.045, 19.5598, -225.001, 144.626, -48.986, -42.0182, -315.554]
[323.482, 144.045, 19.5598, -225.001, 144.626, -48.986, -42.1629, -315.554]
[323.482, 145.327, 18.2781, -225.001, 144.626, -48.986, -42.1629, -315.554]
[323.482, 145.327, 18.2781, -223.35, 144.626, -48.986, -42.1629, -317.204]
[323.482, 146.584, 17.0217, -223.35, 144.626, -48.986, -42.1629, -317.204]
[323.482, 146.584, 17.0217, -223.491, 144.767, -48.986, -42.1629, -317.204]
[323.482, 146.584, 17.4962, -223.966, 144.767, -48.986, -42.1629, -317.204]
[323.482, 147.82, 16.2597, -223.966, 144.767, -48.986, -42.1629, -317.204]
[324.304, 147.82, 16.2597, -223.966, 143.945, -48.986, -42.1629, -317.204]
[324.328, 147.82, 16.2597, -223.99, 143.945, -48.986, -42.1629, -317.204]
[324.328, 147.956, 16.2597, -224.125, 143.945, -48.986, -42.1629, -317.204]
[324.328, 148.091, 16.2597, -224.261, 143.945, -48.986, -42.1629, -317.204]
[324.462, 148.091, 16.2597, -224.261, 143.945, -49.1199, -42.1629, -317.204]
[324.462, 148.091, 16.2597, -224.402, 144.086, -49.1199, -42.1629, -317.204]
[324.713, 148.091, 16.0083, -224.402, 144.086, -49.1199, -42.1629, -317.204]
[324.964, 148.091, 15.7581, -224.402, 144.086, -49.1199, -42.1629, -317.204]
[324.964, 148.091, 15.7581, -222.778, 144.086, -49.1199, -42.1629, -318.828]
[324.964, 148.229, 15.7581, -222.915, 144.086, -49.1199, -42.1629, -318.828]
[324.964, 148.229, 15.7581, -223.057, 144.228, -49.1199, -42.1629, -318.828]
[325.106, 148.229, 15.7581, -223.057, 144.228, -49.1199, -42.3051, -318.828]
[325.13, 148.229, 15.7581, -223.081, 144.228, -49.1199, -42.3051, -318.828]
[325.153, 148.229, 15.7581, -223.105, 144.228, -49.1199, -42.3051, -318.828]
[325.286, 148.229, 15.7581, -223.105, 144.228, -49.2525, -42.3051, -318.828]
[325.286, 148.229, 15.7581, -223.912, 144.228, -49.2525, -41.4975, -318.828]
[325.429, 148.229, 15.7581, -223.912, 144.228, -49.2525, -41.6403, -318.828]
[325.429, 148.229, 15.7581, -223.912, 145.001, -49.2525, -42.4133, -318.828]
[325.429, 149.433, 14.5541, -223.912, 145.001, -49.2525, -42.4133, -318.828]
[325.57, 149.433, 14.5541, -223.912, 145.001, -49.2525, -42.5546, -318.828]
[326.379, 149.433, 14.5541, -223.912, 144.192, -49.2525, -42.5546, -318.828]
[326.379, 149.433, 14.5541, -222.313, 144.192, -49.2525, -42.5546, -320.428]
[326.379, 150.614, 13.3728, -222.313, 144.192, -49.2525, -42.5546, -320.428]
[326.379, 151.298, 13.3728, -222.313, 144.192, -49.9366, -42.5546, -320.428]
[326.379, 151.298, 13.3728, -222.313, 139.179, -44.9237, -42.5546, -320.428]
[326.379, 151.298, 13.8688, -222.809, 139.179, -44.9237, -42.5546, -320.428]
[326.519, 151.298, 13.8688, -222.809, 139.179, -44.9237, -42.6943, -320.428]
[326.519, 151.431, 13.8688, -222.941, 139.179, -44.9237, -42.6943, -320.428]
[326.655, 151.431, 13.8688, -222.941, 139.179, -45.06, -42.6943, -320.428]
[326.655, 151.431, 13.8688, -227.104, 139.179, -45.06, -42.6943, -316.266]
[326.655, 151.431, 13.8688, -227.104, 139.979, -45.06, -43.4945, -316.266]
[326.791, 151.431, 13.8688, -227.104, 139.979, -45.196, -43.4945, -316.266]
[326.791, 151.431, 13.8688, -225.437, 139.979, -45.196, -43.4945, -317.933]
[326.791, 151.431, 13.8688, -225.437, 140.768, -45.196, -44.2837, -317.933]
[326.791, 151.431, 13.8688, -229.542, 140.768, -45.196, -44.2837, -313.828]
[326.791, 151.431, 13.8688, -230.319, 140.768, -45.196, -43.5066, -313.828]
[326.791, 151.431, 13.8688, -230.456, 140.905, -45.196, -43.5066, -313.828]
[327.564, 151.431, 13.8688, -230.456, 140.132, -45.196, -43.5066, -313.828]
[327.564, 151.431, 13.8688, -230.456, 140.92, -45.196, -44.2946, -313.828]
[327.564, 151.431, 13.8688, -231.233, 140.92, -44.4189, -44.2946, -313.828]
[327.564, 151.431, 13.8688, -231.233, 140.98, -44.4189, -44.2946, -313.888]
[328.333, 151.431, 13.8688, -231.233, 140.212, -44.4189, -44.2946, -313.888]
[328.333, 151.431, 13.8688, -229.488, 140.212, -44.4189, -44.2946, -315.633]
[328.333, 151.431, 13.8688, -227.785, 140.212, -44.4189, -44.2946, -317.335]
[328.333, 151.431, 13.8688, -227.926, 140.353, -44.4189, -44.2946, -317.335]
[328.333, 151.431, 13.8688, -228.067, 140.494, -44.4189, -44.2946, -317.335]
[328.354, 151.431, 13.8688, -228.089, 140.494, -44.4189, -44.2946, -317.335]
[328.354, 151.557, 13.8688, -228.215, 140.494, -44.4189, -44.2946, -317.335]
[328.354, 151.557, 14.3366, -228.683, 140.494, -44.4189, -44.2946, -317.335]
[329.19, 150.721, 14.3366, -228.683, 140.494, -44.4189, -44.2946, -317.335]
[329.19, 150.774, 14.3366, -228.683, 140.494, -44.4189, -44.2946, -317.388]
[329.19, 150.774, 14.3366, -228.683, 141.273, -45.1984, -44.2946, -317.388]
[329.19, 150.774, 14.3366, -228.683, 142.048, -45.1984, -45.0697, -317.388]
[329.212, 150.774, 14.3366, -228.704, 142.048, -45.1984, -45.0697, -317.388]
[329.448, 150.774, 14.1007, -228.704, 142.048, -45.1984, -45.0697, -317.388]
[329.448, 150.774, 14.1007, -228.841, 142.186, -45.1984, -45.0697, -317.388]
[329.448, 150.9, 14.1007, -228.967, 142.186, -45.1984, -45.0697, -317.388]
[329.448, 151.607, 14.1007, -228.967, 142.186, -45.9055, -45.0697, -317.388]
[330.276, 150.779, 14.1007, -228.967, 142.186, -45.9055, -45.0697, -317.388]
[330.276, 150.779, 14.1007, -229.759, 142.186, -45.1135, -45.0697, -317.388]
[330.297, 150.779, 14.1007, -229.78, 142.186, -45.1135, -45.0697, -317.388]
[330.318, 150.779, 14.1007, -229.802, 142.186, -45.1135, -45.0697, -317.388]
[330.318, 150.779, 14.1007, -229.802, 142.949, -45.8771, -45.0697, -317.388]
[330.318, 150.779, 14.1007, -230.582, 142.949, -45.8771, -44.289, -317.388]
[331.081, 150.779, 14.1007, -230.582, 142.186, -45.8771, -44.289, -317.388]
[331.081, 150.779, 14.1007, -228.887, 142.186, -45.8771, -44.289, -319.083]
[331.102, 150.779, 14.1007, -228.908, 142.186, -45.8771, -44.289, -319.083]
[331.102, 150.779, 14.1007, -229.69, 142.186, -45.8771, -43.5076, -319.083]
[331.102, 150.779, 14.1007, -229.69, 142.945, -46.6355, -43.5076, -319.083]
[331.102, 151.478, 14.1007, -229.69, 142.945, -47.3346, -43.5076, -319.083]
[331.102, 151.478, 14.1007, -229.69, 137.981, -47.3346, -38.5443, -319.083]
[331.102, 151.478, 14.1007, -229.69, 138.758, -48.1113, -38.5443, -319.083]
[331.102, 151.478, 14.1007, -230.492, 138.758, -47.3091, -38.5443, -319.083]
[331.333, 151.478, 13.8697, -230.492, 138.758, -47.3091, -38.5443, -319.083]
[331.333, 152.634, 12.7138, -230.492, 138.758, -47.3091, -38.5443, -319.083]
[331.472, 152.634, 12.7138, -230.492, 138.758, -47.3091, -38.6828, -319.083]
[331.472, 152.634, 13.1767, -230.955, 138.758, -47.3091, -38.6828, -319.083]
[331.472, 153.772, 12.0378, -230.955, 138.758, -47.3091, -38.6828, -319.083]
[331.472, 154.891, 10.9195, -230.955, 138.758, -47.3091, -38.6828, -319.083]
[331.472, 154.891, 11.3882, -231.424, 138.758, -47.3091, -38.6828, -319.083]
[331.472, 155.561, 11.3882, -231.424, 138.758, -47.9793, -38.6828, -319.083]
[331.472, 155.561, 11.3882, -235.472, 138.758, -47.9793, -38.6828, -315.035]
[331.472, 155.561, 11.3882, -235.472, 139.589, -47.9793, -39.5139, -315.035]
[331.609, 155.561, 11.3882, -235.472, 139.589, -47.9793, -39.6509, -315.035]
[331.609, 155.674, 11.3882, -235.584, 139.589, -47.9793, -39.6509, -315.035]
[331.609, 155.674, 11.3882, -233.8, 139.589, -47.9793, -39.6509, -316.819]
[331.833, 155.674, 11.1641, -233.8, 139.589, -47.9793, -39.6509, -316.819]
[331.833, 151.035, 15.8031, -233.8, 139.589, -47.9793, -39.6509, -316.819]
[331.969, 151.035, 15.8031, -233.8, 139.589, -47.9793, -39.7872, -316.819]
[332.7, 151.035, 15.8031, -233.8, 138.859, -47.9793, -39.7872, -316.819]
[332.835, 151.035, 15.8031, -233.8, 138.859, -47.9793, -39.9222, -316.819]
[332.835, 152.213, 14.6251, -233.8, 138.859, -47.9793, -39.9222, -316.819]
[332.835, 152.213, 15.0663, -234.241, 138.859, -47.9793, -39.9222, -316.819]
[333.064, 152.213, 14.837, -234.241, 138.859, -47.9793, -39.9222, -316.819]
[333.064, 152.213, 14.837, -229.227, 138.859, -47.9793, -44.9364, -316.819]
[333.064, 152.336, 14.837, -229.351, 138.859, -47.9793, -44.9364, -316.819]
[333.064, 152.336, 14.837, -230.155, 138.859, -47.1757, -44.9364, -316.819]
[333.872, 151.528, 14.837, -230.155, 138.859, -47.1757, -44.9364, -316.819]
[333.872, 151.528, 14.837, -230.294, 138.998, -47.1757, -44.9364, -316.819]
[333.996, 151.528, 14.837, -230.294, 138.998, -47.2999, -44.9364, -316.819]
[333.996, 151.528, 14.837, -230.294, 139.784, -47.2999, -45.7225, -316.819]
[333.996, 151.651, 14.837, -230.417, 139.784, -47.2999, -45.7225, -316.819]
[333.996, 151.774, 14.837, -230.54, 139.784, -47.2999, -45.7225, -316.819]
[333.996, 151.774, 14.837, -228.839, 139.784, -47.2999, -45.7225, -318.52]
[333.996, 152.463, 14.837, -228.839, 139.784, -47.9888, -45.7225, -318.52]
[333.996, 152.463, 14.837, -229.646, 139.784, -47.1815, -45.7225, -318.52]
[333.996, 152.463, 14.837, -229.785, 139.923, -47.1815, -45.7225, -318.52]
[334.12, 152.463, 14.837, -229.785, 139.923, -47.3055, -45.7225, -318.52]
[334.244, 152.463, 14.837, -229.785, 139.923, -47.4292, -45.7225, -318.52]
[334.244, 152.463, 14.837, -229.924, 140.062, -47.4292, -45.7225, -318.52]
[334.47, 152.463, 14.6112, -229.924, 140.062, -47.4292, -45.7225, -318.52]
[334.49, 152.463, 14.6112, -229.944, 140.062, -47.4292, -45.7225, -318.52]
[334.49, 152.463, 14.6112, -230.729, 140.062, -47.4292, -44.9384, -318.52]
[334.49, 30.8217, 136.253, -230.729, 140.062, -47.4292, -44.9384, -318.52]
[334.49, 30.8217, 137.04, -230.729, 140.062, -48.217, -44.9384, -318.52]
