[277.568, 90.9099, -15.4614, -134.956, 110.405, -58.8157, -37.4733, -232.145]
[277.861, 90.9099, -15.4614, -134.956, 110.405, -59.1088, -37.4733, -232.145]
[279.244, 90.9099, -15.4614, -134.956, 109.022, -59.1088, -37.4733, -232.145]
[279.681, 90.9099, -15.8986, -134.956, 109.022, -59.1088, -37.4733, -232.145]
[279.681, 90.9099, -15.8986, -132.55, 109.022, -59.1088, -37.4733, -234.551]
[279.681, 90.9099, -15.8986, -135.392, 109.022, -56.2671, -37.4733, -234.551]
[280.115, 90.9099, -16.3321, -135.392, 109.022, -56.2671, -37.4733, -234.551]
[280.115, 90.9099, -14.2886, -137.436, 109.022, -56.2671, -37.4733, -234.551]
[280.115, 91.7207, -14.2886, -138.246, 109.022, -56.2671, -37.4733, -234.551]
[280.115, 91.7207, -21.0855, -131.45, 109.022, -56.2671, -37.4733, -234.551]
[280.115, 91.7207, -21.0855, -131.45, 110.667, -56.2671, -39.1185, -234.551]
[281.475, 91.7207, -21.0855, -131.45, 109.307, -56.2671, -39.1185, -234.551]
[281.614, 91.7207, -21.0855, -131.588, 109.307, -56.2671, -39.1185, -234.551]
[281.614, 91.7207, -21.0855, -134.078, 109.307, -56.2671, -36.6294, -234.551]
[282.019, 91.7207, -21.4906, -134.078, 109.307, -56.2671, -36.6294, -234.551]
[282.019, 93.346, -21.4906, -134.078, 109.307, -57.8924, -36.6294, -234.551]
[282.421, 93.346, -21.8926, -134.078, 109.307, -57.8924, -36.6294, -234.551]
[282.82, 93.346, -22.2916, -134.078, 109.307, -57.8924, -36.6294, -234.551]
[282.82, 93.346, -20.1319, -136.237, 109.307, -57.8924, -36.6294, -234.551]
[282.82, 93.346, -20.1319, -128.165, 101.235, -57.8924, -36.6294, -234.551]
[282.82, 93.346, -20.1319, -128.968, 102.038, -57.8924, -36.6294, -234.551]
[282.82, 93.346, -20.1319, -131.46, 102.038, -57.8924, -34.1379, -234.551]
[282.82, 93.346, -20.1319, -133.863, 102.038, -57.8924, -31.7342, -234.551]
[283.182, 93.346, -20.1319, -133.863, 102.038, -57.8924, -32.0959, -234.551]
