Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
12	:	1771317780.720	     3.486	0	0	0	0	$BIN -f Exp/G8_I400_S50//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
7	:	1771317780.709	     3.694	0	0	0	0	$BIN -f Exp/G8_I400_S50//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
9	:	1771317780.713	     3.911	0	0	0	0	$BIN -f Exp/G8_I400_S50//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
14	:	1771317780.724	     3.946	0	0	0	0	$BIN -f Exp/G8_I400_S50//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
6	:	1771317780.707	     4.099	0	0	0	0	$BIN -f Exp/G8_I400_S50//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
16	:	1771317780.729	     4.184	0	0	0	0	$BIN -f Exp/G8_I400_S50//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
15	:	1771317780.727	     4.229	0	0	0	0	$BIN -f Exp/G8_I400_S50//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
10	:	1771317780.716	     4.357	0	0	0	0	$BIN -f Exp/G8_I400_S50//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
8	:	1771317780.711	     4.367	0	0	0	0	$BIN -f Exp/G8_I400_S50//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
4	:	1771317780.703	     4.518	0	0	0	0	$BIN -f Exp/G8_I400_S50//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
5	:	1771317780.705	     4.554	0	0	0	0	$BIN -f Exp/G8_I400_S50//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
19	:	1771317780.735	     4.568	0	0	0	0	$BIN -f Exp/G8_I400_S50//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
17	:	1771317780.731	     4.615	0	0	0	0	$BIN -f Exp/G8_I400_S50//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
2	:	1771317780.698	     4.766	0	0	0	0	$BIN -f Exp/G8_I400_S50//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
18	:	1771317780.733	     4.999	0	0	0	0	$BIN -f Exp/G8_I400_S50//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
3	:	1771317780.701	     5.094	0	0	0	0	$BIN -f Exp/G8_I400_S50//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
13	:	1771317780.722	     5.184	0	0	0	0	$BIN -f Exp/G8_I400_S50//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
20	:	1771317780.738	     5.517	0	0	0	0	$BIN -f Exp/G8_I400_S50//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
11	:	1771317780.718	     5.548	0	0	0	0	$BIN -f Exp/G8_I400_S50//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
21	:	1771317784.210	     3.608	0	0	0	0	$BIN -f Exp/G8_I400_S50//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
24	:	1771317784.674	     3.717	0	0	0	0	$BIN -f Exp/G8_I400_S50//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
23	:	1771317784.628	     4.131	0	0	0	0	$BIN -f Exp/G8_I400_S50//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
25	:	1771317784.810	     4.095	0	0	0	0	$BIN -f Exp/G8_I400_S50//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
28	:	1771317785.078	     4.226	0	0	0	0	$BIN -f Exp/G8_I400_S50//34.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/34.txt 2>&1
33	:	1771317785.351	     4.011	0	0	0	0	$BIN -f Exp/G8_I400_S50//39.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/39.txt 2>&1
34	:	1771317785.470	     4.019	0	0	0	0	$BIN -f Exp/G8_I400_S50//3.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/3.txt 2>&1
30	:	1771317785.226	     4.536	0	0	0	0	$BIN -f Exp/G8_I400_S50//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
22	:	1771317784.407	     5.586	0	0	0	0	$BIN -f Exp/G8_I400_S50//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
26	:	1771317784.916	     5.230	0	0	0	0	$BIN -f Exp/G8_I400_S50//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
39	:	1771317786.269	     4.304	0	0	0	0	$BIN -f Exp/G8_I400_S50//44.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/44.txt 2>&1
27	:	1771317784.962	     5.659	0	0	0	0	$BIN -f Exp/G8_I400_S50//33.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/33.txt 2>&1
32	:	1771317785.310	     6.057	0	0	0	0	$BIN -f Exp/G8_I400_S50//38.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/38.txt 2>&1
31	:	1771317785.262	     6.158	0	0	0	0	$BIN -f Exp/G8_I400_S50//37.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/37.txt 2>&1
40	:	1771317787.824	     4.020	0	0	0	0	$BIN -f Exp/G8_I400_S50//45.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/45.txt 2>&1
29	:	1771317785.082	     6.819	0	0	0	0	$BIN -f Exp/G8_I400_S50//35.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/35.txt 2>&1
37	:	1771317785.909	     6.424	0	0	0	0	$BIN -f Exp/G8_I400_S50//42.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/42.txt 2>&1
41	:	1771317788.395	     4.016	0	0	0	0	$BIN -f Exp/G8_I400_S50//46.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/46.txt 2>&1
43	:	1771317788.910	     3.945	0	0	0	0	$BIN -f Exp/G8_I400_S50//48.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/48.txt 2>&1
42	:	1771317788.763	     4.213	0	0	0	0	$BIN -f Exp/G8_I400_S50//47.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/47.txt 2>&1
47	:	1771317789.765	     3.902	0	0	0	0	$BIN -f Exp/G8_I400_S50//51.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/51.txt 2>&1
48	:	1771317789.998	     3.876	0	0	0	0	$BIN -f Exp/G8_I400_S50//52.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/52.txt 2>&1
46	:	1771317789.493	     4.494	0	0	0	0	$BIN -f Exp/G8_I400_S50//50.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/50.txt 2>&1
1	:	1771317780.696	    13.948	0	0	0	0	$BIN -f Exp/G8_I400_S50//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
53	:	1771317791.425	     3.427	0	0	0	0	$BIN -f Exp/G8_I400_S50//57.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/57.txt 2>&1
50	:	1771317790.578	     4.882	0	0	0	0	$BIN -f Exp/G8_I400_S50//54.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/54.txt 2>&1
45	:	1771317789.366	     6.124	0	0	0	0	$BIN -f Exp/G8_I400_S50//4.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/4.txt 2>&1
36	:	1771317785.799	     9.762	0	0	0	0	$BIN -f Exp/G8_I400_S50//41.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/41.txt 2>&1
54	:	1771317791.849	     3.855	0	0	0	0	$BIN -f Exp/G8_I400_S50//58.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/58.txt 2>&1
55	:	1771317791.905	     3.885	0	0	0	0	$BIN -f Exp/G8_I400_S50//59.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/59.txt 2>&1
35	:	1771317785.737	    10.125	0	0	0	0	$BIN -f Exp/G8_I400_S50//40.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/40.txt 2>&1
52	:	1771317791.370	     4.551	0	0	0	0	$BIN -f Exp/G8_I400_S50//56.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/56.txt 2>&1
44	:	1771317789.309	     6.674	0	0	0	0	$BIN -f Exp/G8_I400_S50//49.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/49.txt 2>&1
56	:	1771317792.338	     3.675	0	0	0	0	$BIN -f Exp/G8_I400_S50//5.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/5.txt 2>&1
51	:	1771317790.625	     5.535	0	0	0	0	$BIN -f Exp/G8_I400_S50//55.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/55.txt 2>&1
58	:	1771317792.861	     3.721	0	0	0	0	$BIN -f Exp/G8_I400_S50//61.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/61.txt 2>&1
