Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1771315685.318	     8.105	0	0	0	0	$BIN -f Exp/G6_I600_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
6	:	1771315685.314	     8.285	0	0	0	0	$BIN -f Exp/G6_I600_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
7	:	1771315685.316	     8.302	0	0	0	0	$BIN -f Exp/G6_I600_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
18	:	1771315685.342	     8.629	0	0	0	0	$BIN -f Exp/G6_I600_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
10	:	1771315685.323	     8.650	0	0	0	0	$BIN -f Exp/G6_I600_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
2	:	1771315685.305	     8.766	0	0	0	0	$BIN -f Exp/G6_I600_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
1	:	1771315685.302	     8.776	0	0	0	0	$BIN -f Exp/G6_I600_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
17	:	1771315685.339	     8.763	0	0	0	0	$BIN -f Exp/G6_I600_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
9	:	1771315685.321	     8.830	0	0	0	0	$BIN -f Exp/G6_I600_S0//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
13	:	1771315685.330	     9.117	0	0	0	0	$BIN -f Exp/G6_I600_S0//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
12	:	1771315685.328	     9.340	0	0	0	0	$BIN -f Exp/G6_I600_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
5	:	1771315685.312	     9.476	0	0	0	0	$BIN -f Exp/G6_I600_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
20	:	1771315685.348	     9.447	0	0	0	0	$BIN -f Exp/G6_I600_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
16	:	1771315685.337	     9.476	0	0	0	0	$BIN -f Exp/G6_I600_S0//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
11	:	1771315685.325	     9.536	0	0	0	0	$BIN -f Exp/G6_I600_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
14	:	1771315685.332	    10.269	0	0	0	0	$BIN -f Exp/G6_I600_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
4	:	1771315685.309	    10.411	0	0	0	0	$BIN -f Exp/G6_I600_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
19	:	1771315685.345	    11.749	0	0	0	0	$BIN -f Exp/G6_I600_S0//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
15	:	1771315685.334	    12.417	0	0	0	0	$BIN -f Exp/G6_I600_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
3	:	1771315685.307	    12.536	0	0	0	0	$BIN -f Exp/G6_I600_S0//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
21	:	1771315693.427	     8.667	0	0	0	0	$BIN -f Exp/G6_I600_S0//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
25	:	1771315694.000	     8.219	0	0	0	0	$BIN -f Exp/G6_I600_S0//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
24	:	1771315693.976	     8.250	0	0	0	0	$BIN -f Exp/G6_I600_S0//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
27	:	1771315694.082	     8.612	0	0	0	0	$BIN -f Exp/G6_I600_S0//33.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/33.txt 2>&1
29	:	1771315694.157	     8.805	0	0	0	0	$BIN -f Exp/G6_I600_S0//35.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/35.txt 2>&1
28	:	1771315694.106	     8.921	0	0	0	0	$BIN -f Exp/G6_I600_S0//34.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/34.txt 2>&1
31	:	1771315694.673	     8.413	0	0	0	0	$BIN -f Exp/G6_I600_S0//37.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/37.txt 2>&1
34	:	1771315694.818	     8.533	0	0	0	0	$BIN -f Exp/G6_I600_S0//3.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/3.txt 2>&1
26	:	1771315694.076	     9.295	0	0	0	0	$BIN -f Exp/G6_I600_S0//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
