Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1771318708.911	     3.787	0	0	0	0	$BIN -f Exp/G10_I400_S50//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
7	:	1771318708.906	     4.098	0	0	0	0	$BIN -f Exp/G10_I400_S50//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
6	:	1771318708.904	     4.194	0	0	0	0	$BIN -f Exp/G10_I400_S50//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
16	:	1771318708.926	     4.250	0	0	0	0	$BIN -f Exp/G10_I400_S50//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
3	:	1771318708.897	     4.414	0	0	0	0	$BIN -f Exp/G10_I400_S50//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
8	:	1771318708.908	     4.506	0	0	0	0	$BIN -f Exp/G10_I400_S50//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
17	:	1771318708.929	     4.688	0	0	0	0	$BIN -f Exp/G10_I400_S50//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
5	:	1771318708.902	     4.808	0	0	0	0	$BIN -f Exp/G10_I400_S50//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
11	:	1771318708.915	     4.873	0	0	0	0	$BIN -f Exp/G10_I400_S50//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
10	:	1771318708.913	     5.118	0	0	0	0	$BIN -f Exp/G10_I400_S50//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
4	:	1771318708.900	     5.276	0	0	0	0	$BIN -f Exp/G10_I400_S50//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
1	:	1771318708.893	     5.596	0	0	0	0	$BIN -f Exp/G10_I400_S50//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
18	:	1771318708.931	     5.594	0	0	0	0	$BIN -f Exp/G10_I400_S50//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
15	:	1771318708.924	     5.690	0	0	0	0	$BIN -f Exp/G10_I400_S50//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
19	:	1771318708.933	     6.408	0	0	0	0	$BIN -f Exp/G10_I400_S50//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
20	:	1771318708.935	     7.107	0	0	0	0	$BIN -f Exp/G10_I400_S50//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
13	:	1771318708.919	     7.328	0	0	0	0	$BIN -f Exp/G10_I400_S50//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
22	:	1771318713.008	     4.008	0	0	0	0	$BIN -f Exp/G10_I400_S50//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
23	:	1771318713.102	     3.917	0	0	0	0	$BIN -f Exp/G10_I400_S50//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
26	:	1771318713.418	     4.265	0	0	0	0	$BIN -f Exp/G10_I400_S50//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
21	:	1771318712.702	     5.133	0	0	0	0	$BIN -f Exp/G10_I400_S50//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
25	:	1771318713.315	     4.902	0	0	0	0	$BIN -f Exp/G10_I400_S50//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
33	:	1771318714.532	     3.829	0	0	0	0	$BIN -f Exp/G10_I400_S50//39.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/39.txt 2>&1
30	:	1771318714.037	     4.889	0	0	0	0	$BIN -f Exp/G10_I400_S50//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
32	:	1771318714.493	     4.491	0	0	0	0	$BIN -f Exp/G10_I400_S50//38.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/38.txt 2>&1
