Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
8	:	1771316725.870	     3.328	0	0	0	0	$BIN -f Exp/G10_I400_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
20	:	1771316725.898	     3.540	0	0	0	0	$BIN -f Exp/G10_I400_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
12	:	1771316725.879	     3.623	0	0	0	0	$BIN -f Exp/G10_I400_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
13	:	1771316725.882	     3.661	0	0	0	0	$BIN -f Exp/G10_I400_S0//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
10	:	1771316725.874	     3.690	0	0	0	0	$BIN -f Exp/G10_I400_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
15	:	1771316725.887	     4.156	0	0	0	0	$BIN -f Exp/G10_I400_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
7	:	1771316725.868	     4.335	0	0	0	0	$BIN -f Exp/G10_I400_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
4	:	1771316725.861	     4.421	0	0	0	0	$BIN -f Exp/G10_I400_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
18	:	1771316725.894	     4.392	0	0	0	0	$BIN -f Exp/G10_I400_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
1	:	1771316725.854	     4.708	0	0	0	0	$BIN -f Exp/G10_I400_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
14	:	1771316725.884	     4.717	0	0	0	0	$BIN -f Exp/G10_I400_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
2	:	1771316725.856	     4.763	0	0	0	0	$BIN -f Exp/G10_I400_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
6	:	1771316725.865	     5.016	0	0	0	0	$BIN -f Exp/G10_I400_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
11	:	1771316725.877	     5.422	0	0	0	0	$BIN -f Exp/G10_I400_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
5	:	1771316725.863	     5.802	0	0	0	0	$BIN -f Exp/G10_I400_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
17	:	1771316725.891	     5.786	0	0	0	0	$BIN -f Exp/G10_I400_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
