Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
13	:	1771316594.730	     7.532	0	0	0	0	$BIN -f Exp/G10_I600_S0//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
10	:	1771316594.723	     7.914	0	0	0	0	$BIN -f Exp/G10_I600_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
2	:	1771316594.705	     7.940	0	0	0	0	$BIN -f Exp/G10_I600_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
6	:	1771316594.715	     8.119	0	0	0	0	$BIN -f Exp/G10_I600_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
15	:	1771316594.734	     8.134	0	0	0	0	$BIN -f Exp/G10_I600_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
14	:	1771316594.732	     8.230	0	0	0	0	$BIN -f Exp/G10_I600_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
3	:	1771316594.707	     8.364	0	0	0	0	$BIN -f Exp/G10_I600_S0//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
20	:	1771316594.744	     8.328	0	0	0	0	$BIN -f Exp/G10_I600_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
17	:	1771316594.738	     8.479	0	0	0	0	$BIN -f Exp/G10_I600_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
4	:	1771316594.710	     8.866	0	0	0	0	$BIN -f Exp/G10_I600_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
18	:	1771316594.740	     8.879	0	0	0	0	$BIN -f Exp/G10_I600_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
11	:	1771316594.725	     9.258	0	0	0	0	$BIN -f Exp/G10_I600_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
8	:	1771316594.719	     9.436	0	0	0	0	$BIN -f Exp/G10_I600_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
1	:	1771316594.703	     9.507	0	0	0	0	$BIN -f Exp/G10_I600_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
5	:	1771316594.712	     9.707	0	0	0	0	$BIN -f Exp/G10_I600_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
7	:	1771316594.717	     9.713	0	0	0	0	$BIN -f Exp/G10_I600_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
12	:	1771316594.728	    10.397	0	0	0	0	$BIN -f Exp/G10_I600_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
16	:	1771316594.736	    10.733	0	0	0	0	$BIN -f Exp/G10_I600_S0//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
19	:	1771316594.742	    11.293	0	0	0	0	$BIN -f Exp/G10_I600_S0//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
9	:	1771316594.721	    12.008	0	0	0	0	$BIN -f Exp/G10_I600_S0//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
29	:	1771316603.223	     7.579	0	0	0	0	$BIN -f Exp/G10_I600_S0//35.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/35.txt 2>&1
27	:	1771316603.076	     7.765	0	0	0	0	$BIN -f Exp/G10_I600_S0//33.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/33.txt 2>&1
22	:	1771316602.642	     8.588	0	0	0	0	$BIN -f Exp/G10_I600_S0//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
24	:	1771316602.840	     8.399	0	0	0	0	$BIN -f Exp/G10_I600_S0//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
30	:	1771316603.582	     7.796	0	0	0	0	$BIN -f Exp/G10_I600_S0//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
21	:	1771316602.267	     9.245	0	0	0	0	$BIN -f Exp/G10_I600_S0//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
25	:	1771316602.875	     8.674	0	0	0	0	$BIN -f Exp/G10_I600_S0//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
31	:	1771316603.627	     8.148	0	0	0	0	$BIN -f Exp/G10_I600_S0//37.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/37.txt 2>&1
28	:	1771316603.082	     9.583	0	0	0	0	$BIN -f Exp/G10_I600_S0//34.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/34.txt 2>&1
33	:	1771316604.159	     8.769	0	0	0	0	$BIN -f Exp/G10_I600_S0//39.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/39.txt 2>&1
23	:	1771316602.649	    10.649	0	0	0	0	$BIN -f Exp/G10_I600_S0//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
34	:	1771316604.217	     9.782	0	0	0	0	$BIN -f Exp/G10_I600_S0//3.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/3.txt 2>&1
35	:	1771316604.422	     9.922	0	0	0	0	$BIN -f Exp/G10_I600_S0//40.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/40.txt 2>&1
40	:	1771316606.732	     8.237	0	0	0	0	$BIN -f Exp/G10_I600_S0//45.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/45.txt 2>&1
32	:	1771316603.988	    12.343	0	0	0	0	$BIN -f Exp/G10_I600_S0//38.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/38.txt 2>&1
26	:	1771316602.968	    13.989	0	0	0	0	$BIN -f Exp/G10_I600_S0//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
39	:	1771316606.040	    11.108	0	0	0	0	$BIN -f Exp/G10_I600_S0//44.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/44.txt 2>&1
36	:	1771316604.434	    12.963	0	0	0	0	$BIN -f Exp/G10_I600_S0//41.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/41.txt 2>&1
43	:	1771316611.235	     7.305	0	0	0	0	$BIN -f Exp/G10_I600_S0//48.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/48.txt 2>&1
