Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
10	:	1771318150.432	     7.869	0	0	0	0	$BIN -f Exp/G8_I600_S50//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
20	:	1771318150.454	     7.851	0	0	0	0	$BIN -f Exp/G8_I600_S50//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
6	:	1771318150.421	     7.904	0	0	0	0	$BIN -f Exp/G8_I600_S50//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
5	:	1771318150.419	     7.915	0	0	0	0	$BIN -f Exp/G8_I600_S50//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
11	:	1771318150.434	     7.928	0	0	0	0	$BIN -f Exp/G8_I600_S50//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
13	:	1771318150.438	     8.098	0	0	0	0	$BIN -f Exp/G8_I600_S50//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
8	:	1771318150.427	     8.115	0	0	0	0	$BIN -f Exp/G8_I600_S50//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
9	:	1771318150.429	     8.276	0	0	0	0	$BIN -f Exp/G8_I600_S50//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
18	:	1771318150.449	     8.392	0	0	0	0	$BIN -f Exp/G8_I600_S50//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
12	:	1771318150.436	     8.571	0	0	0	0	$BIN -f Exp/G8_I600_S50//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
4	:	1771318150.416	     8.927	0	0	0	0	$BIN -f Exp/G8_I600_S50//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
17	:	1771318150.447	     8.993	0	0	0	0	$BIN -f Exp/G8_I600_S50//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
3	:	1771318150.414	     9.478	0	0	0	0	$BIN -f Exp/G8_I600_S50//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
19	:	1771318150.452	     9.494	0	0	0	0	$BIN -f Exp/G8_I600_S50//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
14	:	1771318150.440	    10.325	0	0	0	0	$BIN -f Exp/G8_I600_S50//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
16	:	1771318150.445	    10.337	0	0	0	0	$BIN -f Exp/G8_I600_S50//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
7	:	1771318150.424	    10.381	0	0	0	0	$BIN -f Exp/G8_I600_S50//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
2	:	1771318150.411	    11.879	0	0	0	0	$BIN -f Exp/G8_I600_S50//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
1	:	1771318150.409	    12.203	0	0	0	0	$BIN -f Exp/G8_I600_S50//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
15	:	1771318150.443	    13.118	0	0	0	0	$BIN -f Exp/G8_I600_S50//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
30	:	1771318159.011	     7.925	0	0	0	0	$BIN -f Exp/G8_I600_S50//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
26	:	1771318158.540	     8.421	0	0	0	0	$BIN -f Exp/G8_I600_S50//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
