Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
3	:	1771317739.273	     1.035	0	0	0	0	$BIN -f Exp/G8_I200_S50//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
6	:	1771317739.279	     1.157	0	0	0	0	$BIN -f Exp/G8_I200_S50//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
13	:	1771317739.296	     1.164	0	0	0	0	$BIN -f Exp/G8_I200_S50//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
19	:	1771317739.310	     1.166	0	0	0	0	$BIN -f Exp/G8_I200_S50//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
10	:	1771317739.289	     1.290	0	0	0	0	$BIN -f Exp/G8_I200_S50//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
11	:	1771317739.291	     1.293	0	0	0	0	$BIN -f Exp/G8_I200_S50//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
16	:	1771317739.303	     1.282	0	0	0	0	$BIN -f Exp/G8_I200_S50//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
14	:	1771317739.299	     1.289	0	0	0	0	$BIN -f Exp/G8_I200_S50//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
15	:	1771317739.301	     1.327	0	0	0	0	$BIN -f Exp/G8_I200_S50//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
12	:	1771317739.294	     1.399	0	0	0	0	$BIN -f Exp/G8_I200_S50//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
5	:	1771317739.277	     1.424	0	0	0	0	$BIN -f Exp/G8_I200_S50//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
2	:	1771317739.270	     1.555	0	0	0	0	$BIN -f Exp/G8_I200_S50//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
4	:	1771317739.275	     1.727	0	0	0	0	$BIN -f Exp/G8_I200_S50//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
9	:	1771317739.286	     1.779	0	0	0	0	$BIN -f Exp/G8_I200_S50//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
20	:	1771317739.312	     1.763	0	0	0	0	$BIN -f Exp/G8_I200_S50//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
