Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1771315790.380	     1.016	0	0	0	0	$BIN -f Exp/G8_I200_S0//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
3	:	1771315790.365	     1.039	0	0	0	0	$BIN -f Exp/G8_I200_S0//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
15	:	1771315790.395	     1.128	0	0	0	0	$BIN -f Exp/G8_I200_S0//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
5	:	1771315790.371	     1.174	0	0	0	0	$BIN -f Exp/G8_I200_S0//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
2	:	1771315790.362	     1.314	0	0	0	0	$BIN -f Exp/G8_I200_S0//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
14	:	1771315790.392	     1.328	0	0	0	0	$BIN -f Exp/G8_I200_S0//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
18	:	1771315790.402	     1.319	0	0	0	0	$BIN -f Exp/G8_I200_S0//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
12	:	1771315790.388	     1.456	0	0	0	0	$BIN -f Exp/G8_I200_S0//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
16	:	1771315790.397	     1.485	0	0	0	0	$BIN -f Exp/G8_I200_S0//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
19	:	1771315790.404	     1.592	0	0	0	0	$BIN -f Exp/G8_I200_S0//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
8	:	1771315790.378	     1.674	0	0	0	0	$BIN -f Exp/G8_I200_S0//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
11	:	1771315790.385	     1.888	0	0	0	0	$BIN -f Exp/G8_I200_S0//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
24	:	1771315791.549	     1.204	0	0	0	0	$BIN -f Exp/G8_I200_S0//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
23	:	1771315791.526	     1.269	0	0	0	0	$BIN -f Exp/G8_I200_S0//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
6	:	1771315790.373	     2.424	0	0	0	0	$BIN -f Exp/G8_I200_S0//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
1	:	1771315790.359	     2.614	0	0	0	0	$BIN -f Exp/G8_I200_S0//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
21	:	1771315791.403	     1.775	0	0	0	0	$BIN -f Exp/G8_I200_S0//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
27	:	1771315791.730	     1.499	0	0	0	0	$BIN -f Exp/G8_I200_S0//33.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/33.txt 2>&1
28	:	1771315791.847	     1.490	0	0	0	0	$BIN -f Exp/G8_I200_S0//34.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/34.txt 2>&1
29	:	1771315791.887	     1.454	0	0	0	0	$BIN -f Exp/G8_I200_S0//35.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/35.txt 2>&1
26	:	1771315791.724	     1.691	0	0	0	0	$BIN -f Exp/G8_I200_S0//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
31	:	1771315792.057	     1.492	0	0	0	0	$BIN -f Exp/G8_I200_S0//37.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/37.txt 2>&1
25	:	1771315791.680	     1.947	0	0	0	0	$BIN -f Exp/G8_I200_S0//31.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/31.txt 2>&1
4	:	1771315790.368	     3.325	0	0	0	0	$BIN -f Exp/G8_I200_S0//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
7	:	1771315790.375	     3.368	0	0	0	0	$BIN -f Exp/G8_I200_S0//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
10	:	1771315790.382	     3.381	0	0	0	0	$BIN -f Exp/G8_I200_S0//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
34	:	1771315792.800	     1.124	0	0	0	0	$BIN -f Exp/G8_I200_S0//3.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/3.txt 2>&1
30	:	1771315792.003	     1.956	0	0	0	0	$BIN -f Exp/G8_I200_S0//36.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/36.txt 2>&1
32	:	1771315792.277	     1.733	0	0	0	0	$BIN -f Exp/G8_I200_S0//38.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/38.txt 2>&1
33	:	1771315792.762	     1.357	0	0	0	0	$BIN -f Exp/G8_I200_S0//39.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/39.txt 2>&1
35	:	1771315792.807	     1.562	0	0	0	0	$BIN -f Exp/G8_I200_S0//40.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/40.txt 2>&1
39	:	1771315793.342	     1.407	0	0	0	0	$BIN -f Exp/G8_I200_S0//44.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/44.txt 2>&1
43	:	1771315793.635	     1.144	0	0	0	0	$BIN -f Exp/G8_I200_S0//48.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/48.txt 2>&1
38	:	1771315793.234	     1.559	0	0	0	0	$BIN -f Exp/G8_I200_S0//43.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/43.txt 2>&1
37	:	1771315793.183	     1.761	0	0	0	0	$BIN -f Exp/G8_I200_S0//42.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/42.txt 2>&1
20	:	1771315790.406	     4.551	0	0	0	0	$BIN -f Exp/G8_I200_S0//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
17	:	1771315790.400	     4.625	0	0	0	0	$BIN -f Exp/G8_I200_S0//24.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/24.txt 2>&1
48	:	1771315793.963	     1.115	0	0	0	0	$BIN -f Exp/G8_I200_S0//52.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/52.txt 2>&1
47	:	1771315793.928	     1.222	0	0	0	0	$BIN -f Exp/G8_I200_S0//51.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/51.txt 2>&1
36	:	1771315792.980	     2.187	0	0	0	0	$BIN -f Exp/G8_I200_S0//41.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/41.txt 2>&1
42	:	1771315793.552	     1.774	0	0	0	0	$BIN -f Exp/G8_I200_S0//47.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/47.txt 2>&1
44	:	1771315793.697	     1.672	0	0	0	0	$BIN -f Exp/G8_I200_S0//49.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/49.txt 2>&1
22	:	1771315791.407	     4.019	0	0	0	0	$BIN -f Exp/G8_I200_S0//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
41	:	1771315793.419	     2.100	0	0	0	0	$BIN -f Exp/G8_I200_S0//46.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/46.txt 2>&1
45	:	1771315793.748	     1.864	0	0	0	0	$BIN -f Exp/G8_I200_S0//4.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/4.txt 2>&1
