Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
9	:	1771317322.649	     4.231	0	0	0	0	$BIN -f Exp/G6_I400_S50//17.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/17.txt 2>&1
19	:	1771317322.676	     4.462	0	0	0	0	$BIN -f Exp/G6_I400_S50//26.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/26.txt 2>&1
15	:	1771317322.665	     4.489	0	0	0	0	$BIN -f Exp/G6_I400_S50//22.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/22.txt 2>&1
13	:	1771317322.660	     4.519	0	0	0	0	$BIN -f Exp/G6_I400_S50//20.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/20.txt 2>&1
14	:	1771317322.662	     4.692	0	0	0	0	$BIN -f Exp/G6_I400_S50//21.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/21.txt 2>&1
20	:	1771317322.678	     4.838	0	0	0	0	$BIN -f Exp/G6_I400_S50//27.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/27.txt 2>&1
5	:	1771317322.640	     4.919	0	0	0	0	$BIN -f Exp/G6_I400_S50//13.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/13.txt 2>&1
16	:	1771317322.668	     4.898	0	0	0	0	$BIN -f Exp/G6_I400_S50//23.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/23.txt 2>&1
3	:	1771317322.634	     4.941	0	0	0	0	$BIN -f Exp/G6_I400_S50//11.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/11.txt 2>&1
7	:	1771317322.645	     4.947	0	0	0	0	$BIN -f Exp/G6_I400_S50//15.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/15.txt 2>&1
8	:	1771317322.647	     5.047	0	0	0	0	$BIN -f Exp/G6_I400_S50//16.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/16.txt 2>&1
18	:	1771317322.673	     5.128	0	0	0	0	$BIN -f Exp/G6_I400_S50//25.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/25.txt 2>&1
6	:	1771317322.642	     5.334	0	0	0	0	$BIN -f Exp/G6_I400_S50//14.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/14.txt 2>&1
10	:	1771317322.652	     5.365	0	0	0	0	$BIN -f Exp/G6_I400_S50//18.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/18.txt 2>&1
4	:	1771317322.637	     5.490	0	0	0	0	$BIN -f Exp/G6_I400_S50//12.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/12.txt 2>&1
2	:	1771317322.631	     5.595	0	0	0	0	$BIN -f Exp/G6_I400_S50//10.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/10.txt 2>&1
1	:	1771317322.629	     5.797	0	0	0	0	$BIN -f Exp/G6_I400_S50//0.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/0.txt 2>&1
11	:	1771317322.654	     5.912	0	0	0	0	$BIN -f Exp/G6_I400_S50//19.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/19.txt 2>&1
12	:	1771317322.657	     5.911	0	0	0	0	$BIN -f Exp/G6_I400_S50//1.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/1.txt 2>&1
21	:	1771317326.884	     4.457	0	0	0	0	$BIN -f Exp/G6_I400_S50//28.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/28.txt 2>&1
23	:	1771317327.159	     4.590	0	0	0	0	$BIN -f Exp/G6_I400_S50//2.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/2.txt 2>&1
22	:	1771317327.144	     4.783	0	0	0	0	$BIN -f Exp/G6_I400_S50//29.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/29.txt 2>&1
26	:	1771317327.521	     4.480	0	0	0	0	$BIN -f Exp/G6_I400_S50//32.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/32.txt 2>&1
24	:	1771317327.185	     4.949	0	0	0	0	$BIN -f Exp/G6_I400_S50//30.csv -opt 2 -n 30 -t 10 -v 0 >"$OUT_DIR"/30.txt 2>&1
